epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,14037.5,0.92064,0.42124,1.06072,0.95109,0.96566,0.95397,0.7308,0.9988,0.44906,1.19215,0.0073666,0.0073666,0.0073666
135,14141.3,0.92608,0.42254,1.06424,0.95118,0.96508,0.95339,0.73091,0.99822,0.44811,1.19184,0.0073468,0.0073468,0.0073468
136,14244.2,0.92375,0.42622,1.06199,0.95082,0.96503,0.95362,0.73172,0.99791,0.44784,1.19084,0.007327,0.007327,0.007327
137,14350.2,0.91268,0.42042,1.05666,0.9515,0.96502,0.9538,0.7324,0.99695,0.44786,1.19002,0.0073072,0.0073072,0.0073072
138,14454.5,0.93053,0.42397,1.06908,0.95129,0.96497,0.95397,0.73213,0.99643,0.44656,1.19005,0.0072874,0.0072874,0.0072874
139,14559.3,0.92244,0.41767,1.05809,0.95003,0.96495,0.95414,0.73248,0.99665,0.44607,1.18956,0.0072676,0.0072676,0.0072676
140,14664.8,0.91261,0.41819,1.05473,0.94971,0.96516,0.95471,0.73276,0.99537,0.44521,1.18777,0.0072478,0.0072478,0.0072478
141,14770.5,0.91096,0.43386,1.05823,0.9496,0.96542,0.9547,0.73294,0.99409,0.44436,1.18697,0.007228,0.007228,0.007228
142,14872,0.91804,0.42224,1.06038,0.9498,0.96612,0.95491,0.73311,0.99351,0.44363,1.18753,0.0072082,0.0072082,0.0072082
143,14975.5,0.90765,0.41822,1.05383,0.94982,0.96639,0.95472,0.73338,0.99286,0.44405,1.18652,0.0071884,0.0071884,0.0071884
144,15076.2,0.90829,0.41598,1.04097,0.94982,0.96651,0.95406,0.73254,0.99221,0.44291,1.18491,0.0071686,0.0071686,0.0071686
145,15181.7,0.9028,0.41534,1.04788,0.94982,0.96604,0.95409,0.73335,0.99135,0.44269,1.1831,0.0071488,0.0071488,0.0071488
146,15286.1,0.91749,0.41571,1.04929,0.95022,0.96543,0.95374,0.73341,0.99026,0.44192,1.18205,0.007129,0.007129,0.007129
147,15390.1,0.90483,0.41184,1.04712,0.94948,0.96551,0.95351,0.73392,0.98912,0.44116,1.18139,0.0071092,0.0071092,0.0071092
148,15492.3,0.89925,0.41362,1.04364,0.94973,0.96529,0.95327,0.73394,0.98856,0.44069,1.18071,0.0070894,0.0070894,0.0070894
149,15596.3,0.911,0.42868,1.05359,0.94983,0.96515,0.95342,0.73389,0.98735,0.44057,1.17998,0.0070696,0.0070696,0.0070696
150,15700.1,0.90002,0.42088,1.05166,0.94991,0.96449,0.95319,0.73425,0.98657,0.44086,1.18011,0.0070498,0.0070498,0.0070498
151,15805.6,0.90252,0.41564,1.05506,0.94853,0.96637,0.95323,0.73463,0.98587,0.44113,1.18061,0.00703,0.00703,0.00703
152,15909.2,0.89195,0.4082,1.04813,0.94912,0.96662,0.95317,0.73461,0.98534,0.44076,1.18041,0.0070102,0.0070102,0.0070102
153,16010.1,0.88379,0.41155,1.04325,0.948,0.96692,0.9528,0.73523,0.98474,0.44048,1.17998,0.0069904,0.0069904,0.0069904
154,16114,0.89066,0.4132,1.05341,0.94812,0.96683,0.9529,0.73594,0.98412,0.44029,1.18029,0.0069706,0.0069706,0.0069706
155,16217.2,0.89694,0.4091,1.04335,0.94851,0.96668,0.95269,0.73587,0.98404,0.44015,1.18039,0.0069508,0.0069508,0.0069508
156,16322.3,0.89359,0.41528,1.02997,0.94865,0.96577,0.95289,0.73605,0.98371,0.44127,1.17899,0.006931,0.006931,0.006931
157,16425.7,0.89298,0.40889,1.03466,0.94986,0.96596,0.95306,0.7366,0.98353,0.44122,1.17872,0.0069112,0.0069112,0.0069112
158,16527.7,0.90127,0.42013,1.04867,0.95094,0.9658,0.95309,0.73644,0.98308,0.44102,1.17862,0.0068914,0.0068914,0.0068914
159,16631,0.8736,0.40996,1.03292,0.95092,0.9655,0.95275,0.73577,0.98288,0.44084,1.17867,0.0068716,0.0068716,0.0068716
160,16734.3,0.87777,0.4066,1.03958,0.95089,0.96521,0.95269,0.73634,0.98254,0.44113,1.17796,0.0068518,0.0068518,0.0068518
161,16837.8,0.89672,0.40891,1.03741,0.95136,0.96539,0.95252,0.73584,0.98229,0.44053,1.17719,0.006832,0.006832,0.006832
162,16941.1,0.88384,0.40485,1.02503,0.9515,0.96527,0.95292,0.7356,0.98128,0.4407,1.17621,0.0068122,0.0068122,0.0068122
163,17044.6,0.88479,0.40572,1.03996,0.95218,0.96508,0.95326,0.73635,0.9808,0.44031,1.17619,0.0067924,0.0067924,0.0067924
164,17149.2,0.87834,0.40264,1.03262,0.95226,0.96584,0.95319,0.73639,0.98029,0.44012,1.17594,0.0067726,0.0067726,0.0067726
165,17253.1,0.88293,0.40697,1.03596,0.95142,0.96602,0.95344,0.73634,0.9798,0.43942,1.17555,0.0067528,0.0067528,0.0067528
166,17359.4,0.87708,0.40002,1.03096,0.95162,0.96571,0.95348,0.73645,0.97936,0.43983,1.17516,0.006733,0.006733,0.006733
167,17463.7,0.86748,0.40671,1.02762,0.95158,0.96561,0.95379,0.73679,0.97866,0.43988,1.1743,0.0067132,0.0067132,0.0067132
168,17567.2,0.8646,0.39643,1.02064,0.95163,0.96527,0.9536,0.73708,0.97841,0.4398,1.17369,0.0066934,0.0066934,0.0066934
169,17672.3,0.85355,0.39338,1.02672,0.95169,0.96526,0.95402,0.737,0.97778,0.43946,1.17312,0.0066736,0.0066736,0.0066736
170,17778.4,0.87203,0.40249,1.02741,0.95173,0.96445,0.95381,0.7373,0.97731,0.4393,1.17277,0.0066538,0.0066538,0.0066538
171,17882.7,0.8598,0.39304,1.03122,0.95176,0.96446,0.95346,0.73764,0.97681,0.43902,1.17276,0.006634,0.006634,0.006634
172,17986.7,0.85888,0.39608,1.03094,0.95235,0.96455,0.95351,0.73748,0.97622,0.43873,1.17267,0.0066142,0.0066142,0.0066142
173,18093.4,0.85473,0.39218,1.03077,0.95233,0.96417,0.95359,0.73747,0.97557,0.43836,1.17242,0.0065944,0.0065944,0.0065944
174,18196.7,0.85116,0.39047,1.02263,0.95232,0.96402,0.95358,0.73803,0.97538,0.43832,1.17212,0.0065746,0.0065746,0.0065746
175,18300.6,0.84816,0.39261,1.02401,0.95239,0.96517,0.95349,0.73812,0.97461,0.43835,1.1717,0.0065548,0.0065548,0.0065548
176,18407.8,0.85371,0.39176,1.0316,0.95234,0.96429,0.95361,0.73788,0.97388,0.43826,1.17154,0.006535,0.006535,0.006535
177,18508.9,0.83838,0.38705,1.01924,0.95143,0.96464,0.95363,0.7381,0.97316,0.43773,1.17111,0.0065152,0.0065152,0.0065152
